rosbagTimestamp,data
66265000000,"""15_10_09_829, 80, 849"""
66662000000,"""15_10_10_819, 78, 886"""
67114000000,"""15_10_11_810, 77, 871"""
67507000000,"""15_10_12_800, 77, 837"""
67928000000,"""15_10_13_789, 78, 769"""
68351000000,"""15_10_14_779, 78, 746"""
68779000000,"""15_10_15_769, 78, 766"""
69178000000,"""15_10_16_759, 78, 790"""
69600000000,"""15_10_17_749, 78, 788"""
70006000000,"""15_10_18_739, 79, 756"""
70439000000,"""15_10_19_729, 80, 737"""
70843000000,"""15_10_20_719, 80, 736"""
71224000000,"""15_10_21_709, 80, 751"""
71808000000,"""15_10_23_194, 80, 795"""
72036000000,"""15_10_23_689, 79, 785"""
72421000000,"""15_10_24_679, 79, 785"""
72789000000,"""15_10_25_670, 79, 785"""
73207000000,"""15_10_26_659, 79, 758"""
73648000000,"""15_10_27_649, 80, 740"""
74070000000,"""15_10_28_639, 81, 735"""
74681000000,"""15_10_30_124, 82, 708"""
74903000000,"""15_10_30_620, 83, 705"""
75320000000,"""15_10_31_609, 84, 692"""
75774000000,"""15_10_32_600, 84, 718"""
76229000000,"""15_10_33_590, 84, 760"""
76661000000,"""15_10_34_580, 83, 777"""
77122000000,"""15_10_35_571, 84, 741"""
77545000000,"""15_10_36_560, 85, 676"""
77934000000,"""15_10_37_550, 88, 647"""
78312000000,"""15_10_38_540, 90, 607"""
78737000000,"""15_10_39_530, 91, 669"""
79143000000,"""15_10_40_520, 90, 693"""
79801000000,"""15_10_42_05, 89, 744"""
80033000000,"""15_10_42_500, 88, 761"""
80481000000,"""15_10_43_490, 87, 734"""
80898000000,"""15_10_44_480, 88, 684"""
81348000000,"""15_10_45_470, 88, 675"""
81831000000,"""15_10_46_460, 88, 695"""
82259000000,"""15_10_47_450, 88, 706"""
82688000000,"""15_10_48_440, 88, 691"""
83101000000,"""15_10_49_430, 88, 700"""
83570000000,"""15_10_50_420, 88, 726"""
84023000000,"""15_10_51_410, 87, 727"""
84491000000,"""15_10_52_400, 87, 727"""
84903000000,"""15_10_53_390, 86, 742"""
85505000000,"""15_10_54_875, 85, 768"""
85726000000,"""15_10_55_370, 84, 739"""
86345000000,"""15_10_56_855, 84, 745"""
86724000000,"""15_10_57_845, 84, 737"""
87133000000,"""15_10_58_835, 83, 771"""
87566000000,"""15_10_59_825, 83, 747"""
87985000000,"""15_11_00_815, 82, 760"""
88418000000,"""15_11_01_806, 82, 778"""
88842000000,"""15_11_02_795, 82, 763"""
89260000000,"""15_11_03_785, 83, 722"""
89696000000,"""15_11_04_775, 83, 717"""
90135000000,"""15_11_05_765, 84, 715"""
90580000000,"""15_11_06_755, 84, 725"""
91043000000,"""15_11_07_745, 84, 712"""
91513000000,"""15_11_08_736, 84, 733"""
91976000000,"""15_11_09_725, 84, 738"""
92442000000,"""15_11_10_715, 84, 721"""
92901000000,"""15_11_11_705, 84, 723"""
93355000000,"""15_11_12_697, 84, 737"""
93756000000,"""15_11_13_685, 84, 723"""
94178000000,"""15_11_14_675, 85, 704"""
94588000000,"""15_11_15_665, 85, 688"""
95030000000,"""15_11_16_655, 87, 682"""
95419000000,"""15_11_17_645, 88, 659"""
95834000000,"""15_11_18_636, 88, 672"""
96214000000,"""15_11_19_625, 88, 699"""
96616000000,"""15_11_20_615, 88, 713"""
97010000000,"""15_11_21_605, 88, 686"""
97397000000,"""15_11_22_595, 88, 692"""
97818000000,"""15_11_23_585, 88, 687"""
98250000000,"""15_11_24_575, 89, 671"""
98651000000,"""15_11_25_565, 89, 665"""
99076000000,"""15_11_26_555, 90, 669"""
99477000000,"""15_11_27_545, 90, 667"""
99909000000,"""15_11_28_535, 90, 678"""
100240000000,"""15_11_29_525, 90, 699"""
100672000000,"""15_11_30_515, 90, 702"""
101062000000,"""15_11_31_505, 90, 685"""
101461000000,"""15_11_32_495, 90, 673"""
101846000000,"""15_11_33_485, 90, 667"""
102228000000,"""15_11_34_476, 91, 652"""
102602000000,"""15_11_35_465, 91, 667"""
102963000000,"""15_11_36_456, 91, 678"""
103368000000,"""15_11_37_446, 90, 710"""
103757000000,"""15_11_38_436, 90, 705"""
104110000000,"""15_11_39_426, 90, 681"""
104517000000,"""15_11_40_416, 90, 665"""
104893000000,"""15_11_41_406, 91, 630"""
105285000000,"""15_11_42_396, 93, 626"""
105640000000,"""15_11_43_386, 93, 646"""
106035000000,"""15_11_44_376, 93, 669"""
106476000000,"""15_11_45_366, 92, 669"""
107077000000,"""15_11_46_851, 92, 669"""
107477000000,"""15_11_47_841, 92, 670"""
107907000000,"""15_11_48_831, 92, 684"""
108315000000,"""15_11_49_821, 92, 668"""
108708000000,"""15_11_50_811, 92, 676"""
109066000000,"""15_11_51_801, 91, 677"""
109450000000,"""15_11_52_791, 91, 692"""
109869000000,"""15_11_53_781, 91, 661"""
110236000000,"""15_11_54_771, 91, 670"""
110628000000,"""15_11_55_761, 91, 679"""
111153000000,"""15_11_57_246, 91, 660"""
111345000000,"""15_11_57_741, 92, 658"""
111699000000,"""15_11_58_731, 92, 657"""
112125000000,"""15_11_59_721, 93, 654"""
112650000000,"""15_12_01_206, 93, 641"""
112842000000,"""15_12_01_701, 93, 659"""
113244000000,"""15_12_02_691, 93, 676"""
113610000000,"""15_12_03_681, 93, 668"""
113961000000,"""15_12_04_671, 92, 668"""
114319000000,"""15_12_05_661, 92, 669"""
114649000000,"""15_12_06_651, 93, 664"""
115026000000,"""15_12_07_641, 93, 658"""
115411000000,"""15_12_08_631, 93, 656"""
115801000000,"""15_12_09_621, 93, 670"""
116236000000,"""15_12_10_612, 93, 652"""
116620000000,"""15_12_11_601, 92, 673"""
117009000000,"""15_12_12_591, 92, 698"""
117422000000,"""15_12_13_581, 92, 685"""
117842000000,"""15_12_14_571, 92, 666"""
118244000000,"""15_12_15_561, 91, 679"""
118650000000,"""15_12_16_551, 91, 688"""
119022000000,"""15_12_17_541, 91, 688"""
119429000000,"""15_12_18_531, 90, 703"""
119844000000,"""15_12_19_521, 90, 708"""
120210000000,"""15_12_20_511, 88, 733"""
